                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 0.8138,                 1.3014,                 1.4231,                  0.599,                 0.8154,                0.75624,                0.68787,                0.44262,                0.98656,                 1.1329,               0.000161,               0.000161,               0.000161
                     90,                0.76507,                 1.2176,                 1.3584,                0.63192,                0.91286,                0.78367,                0.69556,                0.52215,                0.91127,                 1.1729,             0.00014862,             0.00014862,             0.00014862
                     91,                0.60169,                 1.2916,                 1.2389,                0.69807,                0.95255,                0.81413,                 0.7002,                0.56855,                0.99445,                 1.1849,             0.00013625,             0.00013625,             0.00013625
                     92,                0.57235,                 1.1885,                 1.2053,                0.68269,                0.84178,                0.80271,                0.71212,                0.51224,                  1.124,                 1.1634,             0.00012387,             0.00012387,             0.00012387
                     93,                0.58552,                  1.212,                 1.2173,                0.63896,                    0.9,                 0.7913,                0.72694,                0.44321,                 1.0608,                 1.1151,              0.0001115,              0.0001115,              0.0001115
                     94,                0.57634,                 1.1699,                 1.1992,                0.66457,                0.91436,                0.78099,                0.70655,                0.44138,                0.96401,                 1.1018,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.56389,                 1.1358,                 1.1982,                0.66567,                 0.9267,                0.79907,                0.72078,                0.45474,                0.91611,                 1.1049,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.56077,                  1.132,                 1.1743,                0.67521,                0.95204,                0.79771,                0.72408,                0.44031,                0.87819,                  1.093,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.55117,                 1.1328,                 1.1927,                0.67722,                   0.95,                0.78612,                0.72776,                0.41984,                0.86862,                 1.0779,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.56787,                  1.104,                 1.1903,                  0.704,                0.89698,                 0.7924,                0.73439,                0.40912,                0.85024,                 1.0827,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.55459,                 1.1013,                 1.2032,                0.71236,                0.90083,                 0.7913,                   0.74,                0.40527,                0.83554,                 1.0833,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.56715,                 1.1369,                  1.223,                0.71516,                0.90908,                 0.8086,                0.75625,                0.39944,                0.81778,                 1.0735,             2.4875e-05,             2.4875e-05,             2.4875e-05
