                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.61488,                 1.5346,                 1.7537,                0.71515,                0.76212,                0.78162,                0.68969,                0.50363,                 1.8509,                 1.5874,             0.00043117,             0.00043117,             0.00043117
                     95,                0.63137,                 1.5337,                 1.7893,                0.68196,                0.77326,                0.78121,                0.69367,                0.47332,                 1.9779,                 1.5298,             0.00042386,             0.00042386,             0.00042386
                     96,                0.63672,                 1.5701,                 1.8022,                0.63478,                0.81167,                0.81333,                 0.7247,                 0.4996,                 1.5709,                 1.5563,             0.00041655,             0.00041655,             0.00041655
                     97,                0.63278,                 1.5014,                 1.8056,                0.64074,                0.80447,                 0.7923,                0.70726,                0.49794,                 1.4932,                 1.5518,             0.00040924,             0.00040924,             0.00040924
                     98,                 0.6297,                 1.4649,                 1.7678,                0.70743,                0.77765,                0.80535,                0.70354,                 0.4772,                 1.2627,                 1.4972,             0.00040193,             0.00040193,             0.00040193
                     99,                0.56382,                 1.4728,                 1.7153,                0.68909,                0.84797,                0.78305,                0.68603,                0.51599,                 1.6233,                 1.5862,             0.00039462,             0.00039462,             0.00039462
                    100,                0.61408,                 1.5229,                 1.7897,                0.77639,                 0.8233,                0.86005,                0.72605,                0.54341,                 1.2465,                 1.5632,             0.00038731,             0.00038731,             0.00038731
                    101,                0.60639,                 1.5321,                 1.7891,                0.62039,                 0.6703,                0.70625,                0.61516,                0.50336,                 1.5844,                 1.5452,                0.00038,                0.00038,                0.00038
                    102,                0.60268,                 1.3852,                 1.7366,                0.71718,                0.72912,                0.80932,                0.72397,                0.44567,                 1.6193,                  1.531,             0.00037269,             0.00037269,             0.00037269
                    103,                 0.5921,                 1.4546,                  1.723,                0.74373,                0.75586,                0.81721,                0.70978,                0.47621,                 1.3477,                 1.5538,             0.00036538,             0.00036538,             0.00036538
                    104,                0.62369,                  1.497,                 1.7753,                 0.7013,                0.83486,                0.82114,                0.73382,                0.47591,                 1.4642,                 1.5222,             0.00035807,             0.00035807,             0.00035807
                    105,                0.59583,                  1.346,                 1.7593,                0.76672,                0.75148,                0.81503,                0.74243,                0.44322,                 1.5836,                 1.4793,             0.00035076,             0.00035076,             0.00035076
                    106,                0.58092,                  1.389,                 1.6916,                0.79239,                0.79719,                0.84993,                0.75362,                0.42859,                 1.3166,                 1.4981,             0.00034345,             0.00034345,             0.00034345
                    107,                 0.5683,                 1.3989,                 1.7089,                0.80337,                0.66546,                0.82199,                0.72477,                0.42884,                 1.3925,                 1.4966,             0.00033614,             0.00033614,             0.00033614
                    108,                0.57677,                 1.3976,                 1.7253,                0.65873,                0.74588,                0.79835,                0.70398,                0.40612,                 1.4866,                  1.474,             0.00032883,             0.00032883,             0.00032883
                    109,                0.56441,                 1.4007,                 1.7144,                0.81364,                0.76273,                0.82728,                0.73655,                0.42054,                 1.3334,                 1.4619,             0.00032152,             0.00032152,             0.00032152
                    110,                0.58219,                 1.3658,                 1.7115,                0.76968,                0.78533,                0.85803,                0.76876,                0.45732,                 1.3522,                 1.4933,             0.00031421,             0.00031421,             0.00031421
