                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.76078,                 1.1477,                 1.3283,                0.74589,                0.65998,                0.79344,                0.65956,                0.71001,                 1.0477,                 1.2848,             0.00080303,             0.00080303,             0.00080303
                     86,                0.79752,                 1.1543,                 1.3498,                0.74662,                0.79753,                0.80104,                0.70044,                0.65409,                 1.1026,                 1.3041,             0.00079936,             0.00079936,             0.00079936
                     87,                0.80406,                 1.1897,                  1.336,                0.58584,                0.72588,                0.74543,                 0.6105,                0.72098,                 1.3105,                 1.3062,              0.0007957,              0.0007957,              0.0007957
                     88,                0.76802,                  1.176,                   1.32,                 0.5317,                0.82382,                0.71865,                0.62435,                0.64515,                 1.1327,                 1.2685,             0.00079203,             0.00079203,             0.00079203
                     89,                0.76088,                 1.1877,                  1.314,                0.60771,                0.84941,                0.78711,                0.66906,                0.72596,                 1.1434,                 1.3172,             0.00078837,             0.00078837,             0.00078837
                     90,                0.80184,                 1.2182,                 1.3409,                0.65049,                0.81051,                 0.7514,                0.64729,                0.69129,                 1.2152,                 1.3347,              0.0007847,              0.0007847,              0.0007847
                     91,                0.84908,                 1.2382,                 1.3738,                0.69107,                0.84052,                0.79188,                0.67556,                0.68783,                 1.1216,                 1.2997,             0.00078103,             0.00078103,             0.00078103
                     92,                0.77969,                 1.1607,                 1.3178,                0.67872,                0.76716,                0.80379,                0.68868,                0.70167,                  1.202,                 1.3233,             0.00077737,             0.00077737,             0.00077737
                     93,                0.75771,                 1.1684,                  1.287,                0.57137,                 0.6957,                0.74789,                0.63884,                0.63396,                  1.237,                 1.2484,              0.0007737,              0.0007737,              0.0007737
                     94,                0.77752,                 1.1562,                 1.3373,                0.81117,                0.82567,                0.86011,                0.75671,                0.63169,                0.96283,                  1.288,             0.00077003,             0.00077003,             0.00077003
                     95,                0.81089,                  1.184,                 1.3918,                  0.638,                0.70053,                0.71382,                0.61162,                0.63736,                 1.2947,                 1.2796,             0.00076637,             0.00076637,             0.00076637
                     96,                0.73536,                 1.1078,                 1.2984,                0.58551,                 0.7704,                0.74887,                0.63634,                 0.7115,                 1.2712,                 1.3194,              0.0007627,              0.0007627,              0.0007627
                     97,                0.81011,                 1.2125,                 1.3275,                0.70875,                0.69293,                0.79621,                0.69698,                 0.5919,                 1.1563,                 1.2306,             0.00075904,             0.00075904,             0.00075904
                     98,                  0.794,                 1.1468,                  1.318,                0.67407,                0.70857,                 0.7815,                0.69283,                0.58032,                 1.0476,                 1.1886,             0.00075537,             0.00075537,             0.00075537
                     99,                0.76697,                 1.1467,                 1.3155,                0.62841,                 0.7422,                0.74575,                0.63328,                0.63652,                 1.0574,                 1.2404,              0.0007517,              0.0007517,              0.0007517
                    100,                0.70613,                 1.0788,                 1.2473,                0.72422,                0.70504,                0.77291,                  0.673,                0.62655,                 1.0455,                 1.2483,             0.00074804,             0.00074804,             0.00074804
                    101,                0.78832,                 1.1154,                 1.3125,                0.74956,                0.74329,                0.81591,                0.71438,                 0.5907,                 1.0576,                 1.2264,             0.00074437,             0.00074437,             0.00074437
                    102,                0.74117,                 1.0607,                  1.287,                0.64489,                0.70827,                 0.7261,                0.61973,                0.64293,                 1.2133,                 1.2515,              0.0007407,              0.0007407,              0.0007407
                    103,                0.75078,                 1.1057,                  1.284,                 0.8012,                0.79757,                0.84675,                 0.7386,                0.58909,                0.97613,                 1.2055,             0.00073704,             0.00073704,             0.00073704
                    104,                0.78259,                 1.1437,                 1.3382,                0.70927,                0.70671,                0.75772,                0.64853,                0.63661,                 1.2632,                 1.2686,             0.00073337,             0.00073337,             0.00073337
                    105,                0.74446,                 1.0885,                 1.3021,                0.67006,                0.82353,                0.80618,                0.68427,                0.65597,                0.94394,                 1.2593,              0.0007297,              0.0007297,              0.0007297
                    106,                0.73165,                 1.0541,                 1.2952,                0.75108,                0.73747,                0.80069,                0.70444,                0.59045,                 1.0577,                 1.2003,             0.00072604,             0.00072604,             0.00072604
                    107,                0.76472,                 1.1393,                 1.3187,                0.84974,                0.70827,                0.82248,                0.69423,                0.60712,                0.98117,                 1.2105,             0.00072237,             0.00072237,             0.00072237
                    108,                 0.7513,                 1.1055,                  1.317,                0.63439,                0.82207,                0.78988,                 0.6903,                0.58905,                0.91443,                 1.1883,             0.00071871,             0.00071871,             0.00071871
                    109,                0.73033,                 1.1071,                 1.2762,                0.53568,                0.72453,                0.66617,                0.53841,                0.66817,                 1.3648,                 1.2658,             0.00071504,             0.00071504,             0.00071504
